"","aascode","aasname","Adj DPS aT4Q","Adj DPS n-0","Adj DPS n-1","Adj DPS n-2","Adj DPS n-3","Adj DPS n-4","Adj DPS n-5","Adj DPS n-6","Adj DPS n-7","Adj DPS n-8","Adj DPS n-9","Adj EPS aT4Q","Adj EPS n-0","Adj EPS n-1","Adj EPS n-2","Adj EPS n-3","Adj EPS n-4","Adj EPS n-5","Adj EPS n-6","Adj EPS n-7","Adj EPS n-8","Adj EPS n-9","Div Payout  aT4Q","Div Payout  n-0","Div Payout  n-1","Div Payout  n-2","Div Payout  n-3","Div Payout  n-4","Div Payout  n-5","Div Payout  n-6","Div Payout  n-7","Div Payout  n-8","Div Payout  n-9","PMoAD DY aT4Q","PMoAD DY n-0","PMoAD DY n-1","PMoAD DY n-2","PMoAD DY n-3","PMoAD DY n-4","PMoAD DY n-5","PMoAD DY n-6","PMoAD DY n-7","PMoAD DY n-8","PMoAD DY n-9","PMoAD P/EPS aT4Q","PMoAD P/EPS n-0","PMoAD P/EPS n-1","PMoAD P/EPS n-2","PMoAD P/EPS n-3","PMoAD P/EPS n-4","PMoAD P/EPS n-5","PMoAD P/EPS n-6","PMoAD P/EPS n-7","PMoAD P/EPS n-8","PMoAD P/EPS n-9","PMoFQED DY aT4Q","PMoFQED DY n-0","PMoFQED DY n-1","PMoFQED DY n-2","PMoFQED DY n-3","PMoFQED DY n-4","PMoFQED DY n-5","PMoFQED DY n-6","PMoFQED DY n-7","PMoFQED DY n-8","PMoFQED DY n-9","PMoFQED P/EPS aT4Q","PMoFQED P/EPS n-0","PMoFQED P/EPS n-1","PMoFQED P/EPS n-2","PMoFQED P/EPS n-3","PMoFQED P/EPS n-4","PMoFQED P/EPS n-5","PMoFQED P/EPS n-6","PMoFQED P/EPS n-7","PMoFQED P/EPS n-8","PMoFQED P/EPS n-9","ROE aT4Q","ROE n-0","ROE n-1","ROE n-2","ROE n-3","ROE n-4","ROE n-5","ROE n-6","ROE n-7","ROE n-8","ROE n-9"
"2089","2089","UTDPLT",0,164.73,103.24,125,120,90,70,50,40,35,30,186.36,133.58,120.99,164.43,179.67,126.99,135.24,143.93,86.19,72.07,63.91,NA,123.32,85.33,76.02,66.79,70.87,51.76,34.74,46.41,48.56,46.94,0,6.59,4.13,4.75,5.27,5.36,5.25,4.63,2.8,3.18,4.23,15.32,18.7,20.66,15.99,12.67,13.23,9.86,7.5,16.59,15.26,11.11,0,6.76,3.97,5,6.32,5.26,5.04,4.85,3.15,3.59,4.26,15.11,18.24,21.49,15.2,10.58,13.47,10.28,7.16,14.73,13.53,11.03,14.83,13.09,11.46,15.92,18.73,14.92,17.18,20.92,14.99,13.99,13.6
"5235SS","5235SS","KLCC",36.15,36.15,35.65,34.65,33.64,25.15,8.54,NA,NA,NA,NA,48.63,48.63,49.08,62.68,51.95,45.73,81.1,NA,NA,NA,NA,74.34,74.34,72.64,55.28,64.75,55.01,10.53,NA,NA,NA,NA,4.63,4.63,4.56,4.98,4.95,5.26,0,NA,NA,NA,NA,16.04,16.04,15.93,11.1,13.09,10.45,0,NA,NA,NA,NA,4.18,4.18,4.3,4.91,5.01,4.95,0,NA,NA,NA,NA,17.77,17.77,16.91,11.26,12.92,11.12,0,NA,NA,NA,NA,6.74,6.74,6.92,9.02,7.8,8.12,18.91,NA,NA,NA,NA
"5106","5106","AXREIT",7.62,8.26,7.38,7.47,7.49,6.87,6.86,5.32,4.35,3.58,3.14,10.66,10.97,9.92,7.84,8.96,9.03,8.37,6.58,8.22,5.03,5.15,71.54,83.05,74.32,95.35,83.54,76.13,82.01,80.9,52.88,71.27,61.01,5.53,5.9,5,5.32,5.61,6.49,5.94,6.37,6.72,8.19,12.12,12.95,14.08,14.86,17.93,14.89,11.73,13.8,12.7,7.87,8.71,5.03,5.91,5.51,5.12,5.12,5.46,6.31,5.94,6.56,6.75,8.19,13.63,12.1,15.08,14.5,18.62,15.31,12.06,13.8,12.32,7.83,8.71,4.47,8.15,7.7,8.81,7.16,9.76,10.9,10.46,10.22,15.06,12.37,14.3
"5116","5116","ALAQAR",7.55,7.55,6.43,5.17,11.19,8.03,5.31,4.54,2.97,5.5,4.77,11.62,11.62,8.71,9.63,9.78,10.07,8.64,11.69,6.15,7.37,6.33,64.96,64.95,73.81,55.82,114.47,79.77,61.49,38.84,48.24,74.6,75.35,5.81,5.81,4.02,3.47,8.36,6.27,4.45,4.27,3.33,7.81,8.8,11.18,11.18,18.37,16.09,13.69,12.73,13.83,9.09,14.5,9.56,8.56,5.28,5.28,4.1,3.69,8.49,6.32,4.48,4.5,3.54,7.73,8.62,12.3,12.3,18.02,15.12,13.49,12.63,13.72,8.64,13.64,9.65,8.74,9.17,9.17,7.08,7.67,8.56,9,8.18,11.88,7.67,9.86,10.34
"5269","5269","ALSREIT",6.25,6.25,3.8,0,0,NA,NA,NA,NA,NA,NA,7,7,8.05,2.55,0,NA,NA,NA,NA,NA,NA,89.27,89.27,47.23,NA,NA,NA,NA,NA,NA,NA,NA,6.65,6.65,3.65,0,0,NA,NA,NA,NA,NA,NA,13.43,13.43,12.93,36.92,0,NA,NA,NA,NA,NA,NA,6.25,6.25,3.55,0,0,NA,NA,NA,NA,NA,NA,14.28,14.28,13.3,36.53,0,NA,NA,NA,NA,NA,NA,6.59,6.59,7.63,2.51,NA,NA,NA,NA,NA,NA,NA
"6033","6033","PETGAS",66,66,62,60,55,55,50,40,50,50,50,90.6,90.6,87.89,100.44,93.15,105.06,71.01,54.63,72.74,47.55,46.93,72.85,72.85,70.54,59.74,59.04,52.35,70.42,73.22,68.74,105.15,106.54,3.74,3.74,3.01,2.68,2.46,2.38,2.74,2.42,4.46,5.06,5.26,19.49,19.49,23.42,22.3,24.03,21.99,25.66,30.2,15.42,20.78,20.24,3.78,3.78,2.91,2.64,2.48,2.27,2.56,2.63,4.37,5.1,5.15,19.29,19.29,24.24,22.6,23.79,23.11,27.49,27.82,15.73,20.61,20.67,14.32,14.32,14.53,17.37,17.5,20.25,15.33,12.63,17,11.74,11.55
"5248","5248","BAUTO",8.48,11.52,16.61,10.18,3.43,0,NA,NA,NA,NA,NA,9.05,10.25,17.01,18.28,11.4,4.38,NA,NA,NA,NA,NA,93.77,112.34,97.6,55.67,30.07,NA,NA,NA,NA,NA,NA,4.23,5.77,7.41,4.11,2.27,0,NA,NA,NA,NA,NA,22.2,19.48,13.17,13.54,13.23,0,NA,NA,NA,NA,NA,3.82,5.42,7.68,3.61,2.52,0,NA,NA,NA,NA,NA,24.62,20.73,12.7,15.41,11.91,0,NA,NA,NA,NA,NA,23.57,26.86,37.33,63.07,40.78,32,NA,NA,NA,NA,NA
"5007","5007","CHINWEL",7.19,6.8,8.5,5.53,4.4,2.73,2.27,2.73,1.46,0,0,17.73,16.98,21.16,13.6,11.97,7.39,15.9,11.86,4.65,0.93,9.04,40.54,40.05,40.17,40.64,36.74,36.9,14.3,23.02,31.31,NA,NA,4.29,3.8,5.63,4.2,3.12,2.42,2,2.21,1.43,0,0,9.45,10.54,7.14,9.67,11.79,15.25,7.15,10.43,21.92,107.77,10.58,3.93,3.8,5.86,3.79,3.6,2.8,1.85,1.99,1.52,0,0,10.29,10.54,6.85,10.72,10.19,13.16,7.72,11.59,20.55,113.59,10.88,9.72,9.54,12.82,9.58,9.46,6.25,13.98,12.18,5.11,1.04,10.23
"3301","3301","HLIND",44.42,42.48,39.5,27.27,23.51,24.45,21.63,19.42,13.56,7.98,12.01,37.65,31.44,75.4,52.83,51.08,45.01,40.25,66.9,59.25,22.89,54.19,117.96,135.13,52.4,51.62,46.02,54.33,53.74,29.03,22.89,34.86,22.17,4.27,4.6,4.43,5.81,3.53,5.05,4.67,5.15,3.35,2.72,3.66,27.62,29.37,11.83,8.88,13.03,10.76,11.52,5.64,6.83,12.83,6.06,4.32,4.44,5.04,6.55,3.74,5.75,5.85,5.11,3.74,2.94,3.73,27.32,30.45,10.39,7.89,12.3,9.44,9.18,5.68,6.11,11.85,5.94,8.73,8.12,19,14.59,13.28,12.63,11.99,19.84,13.99,5.92,14.61
"5160","5160","HOMERIZ",3.2,4.2,5,4,3.4,2.5,2,1.5,2.81,NA,NA,8.34,10.3,9.34,7.85,6.75,5.04,4.9,3.6,6.68,NA,NA,38.38,40.79,53.52,50.96,50.4,49.6,40.82,41.59,41.98,NA,NA,4.64,4.42,5.24,3.54,5.8,7.98,9.68,9,8.36,0,NA,8.28,9.23,10.22,14.39,8.7,6.22,4.22,4.62,5.02,0,NA,4.24,4.49,5.65,4.37,6.5,9.15,10.34,7.76,11.09,0,NA,9.06,9.08,9.47,11.66,7.76,5.42,3.95,5.36,3.79,0,NA,18.53,23.4,23.95,23.09,22,18.44,20.42,17.45,41.9,NA,NA
"7089","7089","LIIHEN",20,20,22,13.33,1.61,3.83,4,2.17,3.33,3,0,40.88,39.79,40.71,31.77,15.7,9.87,11.9,6.19,9.76,8.99,3.03,48.92,50.27,54.05,41.96,10.25,38.84,33.61,35.01,34.15,33.36,NA,6.23,6.23,6.25,5.15,1.28,6.12,9.38,7.65,8.62,6.25,0,7.85,8.07,8.65,8.15,8.02,6.35,3.59,4.58,3.96,5.34,5.16,5.56,5.56,6.9,5.01,1.72,7.14,9.23,7.83,8.7,9.38,0,8.81,9.05,7.84,8.37,5.94,5.44,3.64,4.47,3.93,3.56,4.95,25.47,24.79,27.74,24.88,44.47,12.21,15.9,9.24,15.55,15.79,6.08
"7052","7052","PADINI",11.5,11.5,11.5,10,11.5,8,6,4,0.9,2.8,3,23.63,23.92,20.88,12.19,13.82,12.97,14.48,11.44,9.27,7.53,6.34,48.66,48.07,55.08,82.03,83.21,61.66,41.43,34.97,9.71,37.19,47.34,2.15,2.72,4.37,7.41,6.08,4.82,2.58,4.49,5.49,25.93,30,22.64,17.68,12.6,11.07,13.68,12.8,16.09,7.78,1.77,1.43,1.58,2.18,3.27,4.85,7.52,5.84,4.23,3.26,3.77,5.92,29.17,26.32,22.34,14.71,11.35,10.91,14.25,14.57,12.7,9.27,1.64,1.28,1.8,25.97,28.48,29.41,19.66,23.46,22.76,27.85,26.6,128.72,24.29,24.56
"7229","7229","FAVCO",13.5,13.5,14.95,14.78,11.71,9.63,6.63,4.83,3.95,3.1,1.93,28.5,28.5,33.72,42.78,39.57,30.44,27.89,21.5,12.92,12.55,9.86,47.37,47.37,44.33,34.56,29.59,31.64,23.78,22.48,30.56,24.69,19.55,5.15,5.15,5.6,5.23,3.86,2.87,5.1,4.8,4.63,5.19,3.13,9.19,9.19,7.92,6.61,7.67,11.01,4.67,4.68,6.6,4.75,6.25,4.95,4.95,6.3,5.47,4.36,3.17,4.85,4.92,4.76,4.88,3.57,9.58,9.58,7.03,6.31,6.78,9.97,4.9,4.57,6.42,5.06,5.47,10.03,10.03,12.67,17.36,19.22,17.09,20.89,20.22,14.87,14.73,13.61
"6645","6645","LITRAK",24.96,24.86,24.64,19.52,16.56,16.4,16.26,16.16,16.06,23.42,11.15,42.7,41.87,32.98,26.12,25.41,24.78,15.76,18.14,16.28,19.35,19.85,58.46,59.37,74.72,74.74,65.16,66.17,103.22,89.05,98.61,121.07,56.18,4.27,4.24,4.67,4.78,4.4,3.86,4.2,4.53,5.52,10.87,3.21,13.7,14.01,15.99,15.62,14.79,17.13,24.59,19.64,17.87,11.14,17.51,4.5,4.15,4.9,5.35,4.43,3.91,4.18,4.83,5.57,11.96,3.35,13,14.3,15.24,13.98,14.72,16.93,24.71,18.44,17.69,10.12,16.76,27.42,30.97,28.8,25.68,26.91,29.85,21.9,26.07,20.14,24.43,11.34
"5236","5236","MATRIX",11.39,10.41,13.21,9.43,0.11,NA,NA,NA,NA,NA,NA,27.51,24.97,34.73,24.28,20.33,NA,NA,NA,NA,NA,NA,41.41,41.67,38.04,38.85,0.56,NA,NA,NA,NA,NA,NA,5.19,5.09,7.55,6.55,0.09,0,NA,NA,NA,NA,NA,7.99,8.18,5.04,5.93,5.92,0,NA,NA,NA,NA,NA,5.28,5.41,7.82,7.04,0.11,0,NA,NA,NA,NA,NA,7.84,7.7,4.86,5.52,5.27,0,NA,NA,NA,NA,NA,17.56,18.44,32.48,32.6,35.36,NA,NA,NA,NA,NA,NA
"7088","7088","POHUAT",5.5,7.33,7.32,7.32,3.66,2.3,0.93,0.97,0.97,0.82,0.75,19.01,23.91,20.18,16.8,10.21,7.19,6.5,2.39,4.6,4.26,3.01,28.91,30.64,36.29,43.57,35.87,31.93,14.25,40.4,21.14,19.22,24.89,3.84,4.6,4.76,3.9,6.15,5,5.26,5,4.65,4.35,5.56,7.52,6.66,7.62,11.17,5.83,6.39,2.71,8.08,4.55,4.42,4.48,3.74,3.98,5.1,5.37,6.02,6.8,5,4.82,4.35,3.7,5,7.72,7.7,7.12,8.12,5.96,4.69,2.85,8.38,4.86,5.19,4.98,15.42,19.58,19.34,18.34,13.87,10.68,10.55,4.16,8.11,8.84,5.39
"7237","7237","PWROOT",12.6,10.67,9.91,9.12,0,6.34,4.05,7.22,3.61,2.68,5.18,8.57,13.18,13.16,13.05,0,10.41,4.8,3.7,3.07,2.96,12.08,147.03,80.99,75.34,69.93,NA,60.87,84.44,195.11,117.65,90.77,42.86,7.71,4.47,5.56,5.46,0,4.46,8.33,14.55,6.67,9.38,7.41,19.08,18.1,13.56,12.8,0,13.65,10.13,13.41,17.65,9.68,5.79,6.85,4.94,5.12,6.02,0,4.76,8.65,14.29,7.84,12,6.38,21.48,16.41,14.73,11.61,0,12.78,9.76,13.66,15,7.56,6.71,12.33,18.68,18.72,18.82,NA,16.91,8.6,6.83,5.31,5.08,20.9
"0099","0099","SCICOM",9,9,9,7.5,5.84,2.5,1.67,1.66,1.87,1.49,1.49,11.72,12.77,11.8,9.76,6.53,4.18,3.86,3.74,2.35,2.45,1.7,76.82,70.47,76.26,76.84,89.4,59.88,43.1,44.54,79.62,60.98,87.72,5.66,4.25,4.29,4.29,5.19,6.74,5.26,5.13,6.41,8.7,5.71,13.57,16.6,17.8,17.93,17.24,8.88,8.19,8.69,12.42,7.01,15.35,5.36,3.91,3.96,3.68,6.48,6.25,5.56,5.13,5.1,9.09,5.26,14.34,18.01,19.24,20.9,13.79,9.58,7.76,8.69,15.61,6.71,16.67,39.05,42.57,45.39,42.44,32.62,20.88,21.09,22.45,16.53,17.26,13.41
"5012","5012","TAANN",10,10,10,16.66,16.66,4.16,4.16,13.88,4.63,1.45,7.23,26.81,26.82,28.23,41.8,27.8,20.9,13.11,34.76,16.86,16.72,9.08,37.29,37.3,35.41,39.86,59.93,19.93,31.77,39.93,27.46,8.65,79.67,2.92,2.92,2.58,3.55,5.13,1.22,1.49,4.12,2.27,0.93,9.62,12.79,12.79,13.74,11.24,11.69,16.34,21.28,9.68,12.11,9.31,8.29,2.73,2.73,2.53,3.98,5.15,1.2,1.43,4.44,2.4,0.9,6,13.65,13.65,13.99,10,11.63,16.62,22.24,8.98,11.43,9.63,13.28,8.91,8.91,9.84,15.73,11.71,9.23,6.05,16.48,9.22,9.91,6.07
"1651","1651","MRCB",0.87,0.87,1.21,1.02,0.97,0.34,0.63,0.63,0,0.21,0,3.82,3.82,6.09,7.52,3.48,-2.49,1.37,2.13,1.53,0.79,-1.29,22.9,22.9,19.93,13.51,28,NA,46.08,29.63,NA,26.18,NA,1.62,1.62,1.92,2.07,1.79,0.64,1.57,0.89,0,0.73,0,14.13,14.13,10.36,6.54,15.68,-21.27,29.26,33.19,42.58,35.86,-13.78,1.56,1.56,2.07,1.95,2.05,0.78,1.29,0.93,0,0.73,0,14.65,14.65,9.64,6.92,13.66,-17.48,35.71,32,38.34,35.86,-11.22,6.95,6.95,10.11,14.62,7.92,-7.27,4.25,6.8,5.58,5.16,-8.91
"7022","7022","GTRONIC",10.9,15.91,22.69,23.92,21.62,13.56,16.07,8.39,6.61,6.43,45.91,21.59,17.91,9.01,26.35,22.92,18.42,14.48,9.35,10.41,5.57,7.62,50.5,88.83,251.92,90.77,94.34,73.61,111.04,89.73,63.55,115.32,602.41,2.78,2.57,5.23,4.16,4.41,4.29,9.77,9.38,6.19,7.53,13.7,18.29,34.53,48.19,21.82,21.4,17.14,11.37,9.57,10.26,15.32,43.98,2.71,2.42,6.61,3.54,5.12,4.42,11.89,10.71,6.03,8.97,13.33,18.8,36.64,38.12,25.65,18.44,16.67,9.34,8.37,10.53,12.85,45.18,22.04,18.19,9.71,23.91,23.09,19.21,15.95,10.9,12.1,7.06,1.98
"5216","5216","DSONIC",4.5,4,3,2,4.75,0.28,0,NA,NA,NA,NA,5.02,4.64,4.67,4.41,6.07,2.08,0,NA,NA,NA,NA,89.62,86.18,64.24,45.39,78.32,13.57,NA,NA,NA,NA,NA,4.33,3.08,2.27,1.98,2.67,2.51,0,NA,NA,NA,NA,20.71,28.01,28.26,22.92,29.35,5.4,0,NA,NA,NA,NA,3.88,3.17,2.31,1.75,4.34,2.48,0,NA,NA,NA,NA,23.1,27.15,27.84,25.87,18.05,5.48,0,NA,NA,NA,NA,25.74,24.02,25.69,26.69,46.02,29.96,NA,NA,NA,NA,NA
"5200","5200","UOADEV",14.99,14.99,14.11,12.74,10.35,9.73,8.48,0,0,NA,NA,28.32,28.32,39.02,24.05,18.23,20.92,17.37,22.19,0,NA,NA,52.93,52.93,36.16,52.97,56.79,46.53,48.8,NA,NA,NA,NA,5.91,5.91,6,7.14,6.13,6.5,6.67,0,0,NA,NA,8.96,8.96,6.03,7.42,9.26,7.16,7.32,1.09,0,NA,NA,6.28,6.28,6.38,7.28,6.16,6.7,6.9,0,0,NA,NA,8.43,8.43,5.67,7.27,9.22,6.94,7.08,0.99,0,NA,NA,11.47,11.47,17.73,13.68,11.92,15.35,14.9,NA,NA,NA,NA
"9598","9598","PTARAS",19.68,19.78,19.68,17.5,14.47,12.08,9.66,9.18,7.24,4.84,5.78,10.43,21.85,10.72,31.3,32.7,31.54,27.07,19.57,12.5,6.92,14.36,188.63,90.5,183.49,55.9,44.25,38.28,35.7,46.91,57.92,69.93,40.27,5.27,4.93,5.56,5.79,3.38,4.77,7.09,8.64,8.98,6.76,8.76,35.76,18.37,33.03,9.66,13.1,8.02,5.03,5.43,6.45,10.35,4.6,5.32,4.88,5.78,4.77,3.41,5.19,7.43,8.09,8.98,7.46,8.96,35.47,18.55,31.74,11.71,12.98,7.38,4.8,5.8,6.45,9.37,4.5,5.24,10.68,5.37,15.12,17.66,19.26,18.86,14.73,10.88,6.53,13.93
"8583","8583","MAHSING",6.49,6.49,7.18,6.58,3.87,4.3,2.61,3.77,2.6,1.7,2.06,14.91,14.91,14.88,15.93,14.68,11.56,9.5,6.94,4.86,3.88,3.84,43.51,43.51,48.26,41.32,26.38,37.17,27.53,54.27,53.52,43.65,53.55,5.42,5.42,4.45,4.96,3.25,3.86,3.71,5.12,3.03,3.61,5.03,8.03,8.03,10.84,8.33,8.12,9.62,7.42,10.61,17.68,12.09,10.64,4.48,4.48,4.55,4.48,2.88,3.54,3.67,5.24,4.13,3.53,5,9.71,9.71,10.62,9.22,9.17,10.5,7.5,10.36,12.96,12.36,10.71,10.52,10.52,9.9,12.1,15.9,15.59,18.66,15.71,12.91,12.2,13.58
"7076","7076","CBIP",5.84,5.83,5.84,9.76,7.9,4.93,27.39,0,2.44,1.31,1.26,9.38,9.38,18.89,18.2,16.94,18.28,44.52,19.43,12.32,7.5,11.69,62.27,62.16,30.94,53.63,46.61,26.96,61.53,NA,19.8,17.51,10.8,3.57,3.57,2.79,4.65,3.86,2.58,21.65,0,5.08,3.88,5.56,17.4,17.4,11.09,11.53,12.06,10.43,2.84,3.29,3.9,4.52,1.94,3.33,3.33,3.05,4.88,3.98,3.12,20.15,0,5.43,3.6,6.17,18.65,18.65,10.16,10.99,11.71,8.65,3.05,2.84,3.64,4.87,1.75,6.99,6.99,14.05,14.68,15.19,18.55,49.38,27.49,23.06,15.52,29.11
"9679","9679","WCT",3,3,0,3.37,4.79,5.12,4.67,5.39,5.57,5.54,5.2,10.92,10.92,4.83,15.48,8.68,13.96,25.35,11.73,10.62,10.39,7.19,27.46,27.46,NA,21.75,55.11,36.68,18.42,45.95,52.43,53.3,72.37,1.9,1.9,0,2.6,3.7,3.1,3.18,3.53,3.46,3.77,8.88,14.46,14.46,34.73,8.38,14.91,11.85,5.79,13.01,15.15,14.13,8.15,1.85,1.85,0,2.6,3.91,3.29,2.98,3.99,3.13,3.85,6.25,14.83,14.83,31.45,8.38,14.11,11.14,6.18,11.51,16.72,13.86,11.58,4.92,4.92,2.51,8.74,5.44,9.11,20,11.3,11.92,11.44,8.52
"7214","7214","ARANK",3.25,3.25,3,2.25,2.25,2.25,0.02,0.02,0.01,0,2.33,11.56,13.5,13.2,8.6,7.92,6.16,6.01,5.9,5.19,-6.87,7.44,28.12,24.08,22.73,26.16,28.41,36.54,0.33,0.34,0.26,NA,31.36,4.55,2.88,3.21,4.89,3.17,5.17,0.07,0.07,0.04,0,7,6.19,8.37,7.08,5.35,8.96,7.06,4.88,4.52,5.91,-3.88,4.48,3.61,2.95,3.64,4.59,3.46,5.36,0.07,0.07,0.04,0,6.86,7.79,8.15,6.25,5.7,8.21,6.82,5,4.63,6.56,-3.4,4.57,11.91,14.21,15.53,11.62,11.82,9.93,10.98,11.64,11.11,-16.09,14.31
"5258","5258","BIMB",13.54,13.54,12.19,11.1,20.46,5.42,4.41,2.2,0,0,0.76,36.6,36.6,33.01,32.31,31.43,16.49,14.9,12.07,0,0,13.95,36.99,36.99,36.94,34.34,65.1,32.89,29.6,18.27,NA,NA,5.47,3.33,3.33,2.89,3.47,5.81,2.19,2.24,1.63,0,0,1.36,11.1,11.1,12.79,9.91,11.2,15.01,13.19,11.22,0,0,4.04,3.18,3.18,3.08,3.19,5.7,1.87,2.49,1.72,0,0,1.28,11.63,11.63,11.99,10.78,11.42,17.57,11.88,10.59,0,0,4.27,13.66,13.66,14.42,16.08,18.09,13.75,12.51,11.2,NA,NA,23.45
"5032","5032","BIPORT",15,15,18,16,18,21.29,19.56,19.57,19.57,19.57,19.31,33.32,33.32,32.57,27.73,31.15,34.28,31.82,37.12,30.31,27.99,32.74,45.02,45.02,55.26,57.69,57.8,62.11,61.47,52.72,64.55,69.9,58.96,2.54,2.54,2.99,2.25,2.57,3,3.21,3.21,3.43,3.49,4.07,17.71,17.71,18.51,25.6,22.48,20.7,19.13,16.4,18.82,20.04,14.48,2.52,2.52,2.87,2.23,2.57,3,3.21,3.31,3.32,3.46,3.89,17.86,17.86,19.28,25.89,22.48,20.7,19.13,15.93,19.45,20.19,15.14,12.63,12.63,12.95,11.42,12.97,15.45,22.3,25.86,21.8,15.24,17.09
"1899","1899","BKAWAN",55.64,55.62,51.19,46.75,56.58,52.37,62.14,91.1,63.05,39.11,63.3,130.06,134.57,189.28,111.21,119.63,110.95,138.93,178.8,130.16,77.38,115.96,42.78,41.33,27.04,42.03,47.29,47.2,44.73,50.95,48.44,50.54,54.58,3.08,3.03,3.01,2.85,3.25,2.75,3.66,5.86,4.17,3.95,9.14,13.83,13.64,9,14.76,14.57,17.16,12.21,8.69,11.63,12.79,5.97,3.06,3.14,3.03,2.98,3.14,2.97,3.61,6.35,5.29,4.32,8.53,13.91,13.17,8.94,14.11,15.05,15.88,12.39,8.02,9.15,11.7,6.4,8.54,8.73,13.55,8.62,11.2,10.58,16.22,21.19,17.96,11.4,17.61
"5254","5254","BPLANT",13.93,13.93,10.35,9.29,4.29,32.92,NA,NA,NA,NA,NA,29.7,29.7,10.17,3.51,2.55,14.87,NA,NA,NA,NA,NA,46.9,46.9,101.83,264.6,167.96,221.31,NA,NA,NA,NA,NA,11.54,11.54,8.38,8.44,4.14,0,NA,NA,NA,NA,NA,4.06,4.06,12.15,31.34,40.59,0,NA,NA,NA,NA,NA,11.82,11.82,8.73,8.72,4.14,0,NA,NA,NA,NA,NA,3.97,3.97,11.66,30.33,40.59,0,NA,NA,NA,NA,NA,26.15,26.15,10.39,3.61,2.49,2.93,NA,NA,NA,NA,NA
"2852","2852","CMSB",8,8,6.3,4.5,8.18,5.27,5.19,4.6,3.07,1.53,1.53,20.03,20.03,15.75,22.69,20.6,16.3,12.63,11.17,6.12,3.82,8.91,39.93,39.93,40,20.01,39.68,32.35,41.07,41.18,50.09,40.18,17.2,1.83,1.83,1.54,0.9,1.98,2.26,5.65,5.98,3.82,2.65,4.35,21.81,21.81,26.03,22.24,20.03,14.29,7.27,6.89,13.12,15.19,3.96,2.05,2.05,1.58,0.88,2.15,2.47,5.11,7.18,3.76,3.38,4.39,19.47,19.47,25.4,22.81,18.49,13.07,8.04,5.74,13.32,11.89,3.92,9.15,9.15,7.65,11.96,12.31,10.77,9.08,8.47,5.02,3.21,7.67
"7233","7233","DUFU",5.23,5.23,2.05,2,0,0,0,0,0.68,0.68,0.85,14.84,14.84,15.32,6.24,3.57,-3.16,-1.25,-2.74,3.89,6.34,5.58,35.23,35.23,13.39,32.1,NA,NA,NA,NA,17.57,10.78,15.17,4.82,4.82,2.41,3.67,0,0,0,0,2.63,2.17,4.29,7.3,7.3,5.55,8.75,9.4,-5.03,-13.93,-8.5,6.68,4.96,3.54,4.7,4.7,3.07,4.08,0,0,0,0,2.44,2.33,4.55,7.49,7.49,4.37,7.87,7.43,-5.29,-14.21,-8.5,7.21,4.64,3.34,19.76,19.76,21.49,9.47,6.25,-7.24,-2.63,-5.53,7.63,12.84,15.49
"5253","5253","ECONBHD",1.8,1.8,1.4,1,0,0,NA,NA,NA,NA,NA,6.5,6.04,5.05,3.49,2.32,0,NA,NA,NA,NA,NA,27.72,29.8,27.73,28.7,NA,NA,NA,NA,NA,NA,NA,1.46,1.5,2.41,3.21,0,0,NA,NA,NA,NA,NA,18.93,19.87,11.49,8.96,15.93,0,NA,NA,NA,NA,NA,1.49,1.8,2.65,2.4,0,0,NA,NA,NA,NA,NA,18.63,16.56,10.46,11.94,10.11,0,NA,NA,NA,NA,NA,25.98,26.49,27.44,23.54,22.48,NA,NA,NA,NA,NA,NA
"8877","8877","EKOVEST",2,2,1.2,0.8,0.59,0.14,0.42,0.39,0.33,0.33,0.33,5.82,5.18,7.27,0.87,2.2,2.58,3.4,1.14,0.47,0.32,0.78,34.42,38.68,16.51,92.49,26.8,5.55,12.31,34.45,70.25,103.72,42.25,1.98,1.74,1.74,2.19,1.59,0.39,2.01,2.02,3.21,3.05,4.17,17.36,22.24,9.47,42.32,16.89,14.31,6.13,17.09,21.92,34.02,10.14,2.16,1.67,2,1.96,1.77,0.35,2,1.67,3.55,3.21,4.39,15.9,23.21,8.26,47.17,15.14,15.7,6.15,20.67,19.81,32.36,9.63,6.19,5.74,29.3,1.56,5.81,14.13,17.69,7.53,3.25,2.22,5.48
"5209","5209","GASMSIA",8,8.01,8.01,3.5,9,13.37,12.7,16.07,NA,NA,NA,15.17,15.17,12.87,8.27,13.07,13.36,12.69,17.86,NA,NA,NA,52.78,52.77,62.21,42.32,68.91,100.07,100.08,89.97,NA,NA,NA,2.96,2.96,2.9,1.42,2.87,3.69,4.84,0,NA,NA,NA,17.8,17.81,21.46,29.87,24.04,27.12,20.66,0,NA,NA,NA,2.77,2.77,3.24,1.46,2.8,3.45,4.94,0,NA,NA,NA,19.05,19.06,19.21,29.02,24.66,28.99,20.27,0,NA,NA,NA,18.55,18.53,16.19,10.94,16.55,17.07,16.14,22.7,NA,NA,NA
