"","aascode","aasname","Adj DPS aT4Q","Adj DPS n-0","Adj DPS n-1","Adj DPS n-2","Adj DPS n-3","Adj DPS n-4","Adj DPS n-5","Adj DPS n-6","Adj DPS n-7","Adj DPS n-8","Adj DPS n-9","Adj EPS aT4Q","Adj EPS n-0","Adj EPS n-1","Adj EPS n-2","Adj EPS n-3","Adj EPS n-4","Adj EPS n-5","Adj EPS n-6","Adj EPS n-7","Adj EPS n-8","Adj EPS n-9","Div Payout  aT4Q","Div Payout  n-0","Div Payout  n-1","Div Payout  n-2","Div Payout  n-3","Div Payout  n-4","Div Payout  n-5","Div Payout  n-6","Div Payout  n-7","Div Payout  n-8","Div Payout  n-9","PMoAD DY aT4Q","PMoAD DY n-0","PMoAD DY n-1","PMoAD DY n-2","PMoAD DY n-3","PMoAD DY n-4","PMoAD DY n-5","PMoAD DY n-6","PMoAD DY n-7","PMoAD DY n-8","PMoAD DY n-9","PMoAD P/EPS aT4Q","PMoAD P/EPS n-0","PMoAD P/EPS n-1","PMoAD P/EPS n-2","PMoAD P/EPS n-3","PMoAD P/EPS n-4","PMoAD P/EPS n-5","PMoAD P/EPS n-6","PMoAD P/EPS n-7","PMoAD P/EPS n-8","PMoAD P/EPS n-9","PMoFQED DY aT4Q","PMoFQED DY n-0","PMoFQED DY n-1","PMoFQED DY n-2","PMoFQED DY n-3","PMoFQED DY n-4","PMoFQED DY n-5","PMoFQED DY n-6","PMoFQED DY n-7","PMoFQED DY n-8","PMoFQED DY n-9","PMoFQED P/EPS aT4Q","PMoFQED P/EPS n-0","PMoFQED P/EPS n-1","PMoFQED P/EPS n-2","PMoFQED P/EPS n-3","PMoFQED P/EPS n-4","PMoFQED P/EPS n-5","PMoFQED P/EPS n-6","PMoFQED P/EPS n-7","PMoFQED P/EPS n-8","PMoFQED P/EPS n-9","ROE aT4Q","ROE n-0","ROE n-1","ROE n-2","ROE n-3","ROE n-4","ROE n-5","ROE n-6","ROE n-7","ROE n-8","ROE n-9"
"5347","5347","TENAGA",65.2,21.35,60.79,31.8,28.82,28.82,24.53,19.33,4.32,19.88,13.56,113.37,48.53,121.59,129.75,107.75,113.89,94.33,77.67,17,56.37,16.17,57.51,43.98,50,24.51,26.75,25.31,26.01,24.89,25.42,35.27,83.9,4.17,1.36,4.25,2.23,2.29,2.17,2.65,2.89,0.77,4.58,3.27,13.81,32.25,11.75,10.97,11.68,11.66,9.81,8.61,33.1,7.71,25.64,4.29,1.4,4.27,2.17,2.59,2.34,2.86,2.94,0.86,4.59,3.46,13.42,31.35,11.7,11.29,10.31,10.8,9.08,8.47,29.65,7.69,24.22,11.26,4.82,12.09,14.06,12.96,14.96,14.39,12.73,3.02,10.64,3.53
"5010","5010","TONGHER",37.33,17.68,8.33,4.8,4.82,3.21,17.71,6.47,4.05,4.04,12.95,36.47,36.47,28.73,-1.97,19.19,11.18,9.31,23.22,16.13,5.34,11.64,102.35,48.48,29.01,NA,25.11,28.74,190.27,27.85,25.09,75.68,111.27,9.27,4.39,4.63,3.05,2.67,2.35,12.57,3.74,2.16,2.94,8,11.04,11.04,6.27,-79.76,9.42,12.22,15.14,7.45,11.64,25.73,13.91,9.45,4.48,4.9,2.97,2.97,2.3,12.43,4.08,1.92,2.91,8,10.83,10.83,5.92,-81.78,8.45,12.5,15.31,6.82,13.05,26.03,13.91,13.36,13.36,12.31,-0.88,8.82,5.5,4.8,11.35,8.63,3,6.6
"7100","7100","UCHITEC",24.33,24.37,12.01,9.3,8.25,8.22,9.86,9.86,9.9,4.95,9.92,15.68,15.68,12.35,10.96,8.92,8.69,9.97,10.89,11.69,5.99,13.07,155.15,155.43,97.26,84.81,92.51,94.61,98.93,90.57,84.63,82.53,75.9,8.31,8.31,7.22,6.75,6.54,7.58,10.17,10.26,9.3,4.72,16,18.71,18.71,13.47,12.57,14.15,12.49,9.73,8.83,9.1,17.47,4.74,7.55,7.55,7.3,6.32,6.99,7.3,10.34,11.01,9.23,4.48,13.04,20.58,20.58,13.32,13.42,13.23,12.96,9.56,8.23,9.17,18.43,5.82,30.35,30.35,23.05,21.98,20.79,20.33,23.78,25.98,28.94,16.52,34.37
"0097","0097","VITROX",4.5,3.5,1.49,2.72,1.98,1.11,0.49,1.97,0.97,0.36,0.66,18.02,17.66,13.79,9.43,10.44,5.12,4.36,4.73,6.77,0.41,1.77,24.97,19.81,10.83,28.9,18.94,21.61,11.3,41.62,14.37,86.61,37.24,0.88,0.55,0.75,1.7,1.29,1.63,1.44,5.33,2.97,3.24,7.41,28.25,35.83,14.44,16.97,14.63,13.26,7.86,7.8,4.84,26.77,5.03,0.84,0.56,0.81,1.6,1.76,1.83,1.54,4.6,3.7,3.33,6.45,29.7,35.15,13.39,18.08,10.75,11.82,7.35,9.05,3.88,25.98,5.77,24.17,25.15,49.59,21.26,28.12,18.34,17.88,23.02,62.54,3.94,16.71
"6963","6963","VS",4.12,4.18,3.28,2.97,0.25,0.01,1.63,0.98,0.7,0.14,1.18,10.71,9.38,7.07,7.96,3.22,2.63,2.24,1.66,1.46,0.31,3.8,38.43,44.6,46.31,37.24,7.92,0.21,72.73,58.67,47.97,44.67,30.9,2.12,2.33,3.51,3.27,0.9,0.04,10.07,6.87,4.58,1.07,6.55,18.09,19.12,13.2,11.4,8.77,5.16,7.22,8.54,10.48,41.92,4.72,1.75,2.68,3.56,0.76,1.18,0.04,9.43,5.81,5.33,0.94,6.29,21.9,16.63,13,49.26,6.74,5.16,7.71,10.1,9,47.42,4.92,14.82,15.03,13.53,18.96,51.84,9.14,9.17,7.17,6.48,1.46,17.98
"7231","7231","WELLCAL",5.66,6.17,4.09,6.13,5.53,4.79,4.25,3.18,2.9,2.86,2.24,6.94,7.26,6.28,8.3,5.91,4.96,4.69,3.08,2.94,2.68,3.44,81.58,84.96,65.06,73.9,93.68,96.67,90.78,103.43,98.85,106.82,65.04,3.88,4.23,3.35,3.59,5,5.47,6.58,9.84,9.02,9.02,8.42,21.03,20.1,19.42,20.56,18.74,17.67,13.79,10.52,10.96,11.85,7.73,3.78,4.78,3.13,4.18,5.09,6.36,7.21,10.71,8.59,9.65,7.47,21.6,17.76,20.8,17.67,18.4,15.2,12.6,9.65,11.5,11.07,8.7,33.22,34.91,47.83,42.49,34.08,29.7,28.85,19.7,18.96,16.77,22.98
"5159","5159","YOCB",8,5,4,4,4,3.5,2,0,4.26,0,NA,13.97,14.22,13.06,11.6,12.53,12.78,10.8,11.44,9.43,0,NA,57.24,35.15,30.61,34.5,31.92,27.38,18.52,NA,45.13,NA,NA,7.69,3.36,3.6,4.62,3.36,5.65,3.64,0,10.94,0,NA,7.44,10.47,8.49,7.46,9.5,4.85,5.09,4.06,4.13,0,NA,6.67,3.7,3.23,4,3.25,5.38,3.39,0,8.43,0,NA,8.59,9.49,9.49,8.63,9.82,5.08,5.46,4.13,5.35,0,NA,11.07,11.61,11.64,11.23,13.1,14.68,13.88,16.58,20.41,NA,NA
"6084","6084","STAR",42.06,41.96,17.99,17.98,17.98,14.99,18,18,72.1,21,21,12.23,12.23,14.88,18,15.09,19.35,28.18,25.27,25.04,19.59,18.81,344.03,343.22,120.89,99.89,119.21,77.48,63.88,71.2,287.94,107.2,111.64,31.82,31.82,7.56,7.53,7.2,6.7,7.03,5.52,20.84,6.56,6.91,10.79,10.79,15.98,13.26,16.56,11.57,9.08,12.9,13.82,16.33,16.16,25.45,25.45,8.04,7.69,7.79,6.73,6.98,5.71,21.78,6.6,6.48,13.48,13.48,15.04,12.99,15.3,11.52,9.16,12.46,13.22,16.23,17.22,10.37,10.37,9.73,11.55,9.74,12.25,18.3,17.56,18.28,11.52,11.47
"5090","5090","MEDIAC",2.67,3.18,4.86,3.63,5.3,47.91,8.18,5.89,3.69,2.12,2.09,2.32,3.98,6.99,7.27,10.59,10.97,11.59,9.83,7.38,3.63,4.15,115.13,80.04,69.63,50,50.03,436.71,70.61,59.94,49.99,58.36,50.33,6.94,5.48,6.63,5.85,5.44,36.89,8.03,4.55,4.79,3.67,4.75,16.6,14.6,10.51,8.54,9.2,11.84,8.79,13.18,10.43,15.89,10.59,6.76,4.93,6.81,5.34,5.82,40.64,8.03,5.23,4.29,4.1,1.53,17.03,16.23,10.22,9.37,8.59,10.74,8.79,11.46,11.65,14.25,32.81,4.7,7.82,12.52,14.97,22.16,27.41,15.3,13.92,12.04,6.02,11.01
"3107","3107","FIMACOR",12.34,17.21,24.61,14.35,11.48,4.92,11.48,9.84,6.56,5.6,5.31,16.88,23.71,20.91,22.74,27.6,23.74,29.32,32.41,24.75,23.29,12.51,73.09,72.59,117.7,63.12,41.6,20.73,39.17,30.37,26.52,24.05,42.45,6.28,7.85,11.26,9.47,4.14,2.48,5.88,4.69,4.44,7.66,7.11,11.65,9.25,10.45,6.67,10.04,8.37,6.66,6.48,5.97,3.14,5.97,6.03,7.81,10.68,9.88,4.29,2.59,5.73,5.08,4.44,7.08,7.08,12.11,9.29,11.02,6.39,9.69,8.02,6.84,5.97,5.97,3.39,6,7.63,9.84,9.23,18,13.84,12.48,16.52,20.88,19.24,23.18,14.72
